report_no,name,maker,prdlst_type,report_date,category,ingredient_count,ingredients_json,dup_count
200704431101089,마이프로틴 드링크 시그니처 초콜릿,(주)삼양패키징광혜원공장,혼합음료,2026-02-23,protein,15,"[""니코틴산아미드"", ""수크랄로스"", ""아세설팜칼륨"", ""젤란검"", ""혼합제제"", ""자당지방산에스테르"", ""탄산수소나트륨"", ""정제소금"", ""향료"", ""코코아분말"", ""유함유가공품"", ""유함유가공품"", ""정제수"", ""판토텐산칼슘"", ""비타민B6염산염""]",1
200704431101090,마이프로틴 드링크 클래식 밀크티,(주)삼양패키징광혜원공장,액상차,2026-02-24,protein,18,"[""유함유가공품"", ""유함유가공품"", ""탈지분유"", ""향료"", ""고형차"", ""고형차"", ""향료"", ""탄산수소나트륨"", ""자당지방산에스테르"", ""정제소금"", ""혼합제제"", ""젤란검"", ""아세설팜칼륨"", ""수크랄로스"", ""니코틴산아미드"", ""판토텐산칼슘"", ""비타민B6염산염"", ""정제수""]",1
20110050881232,마이프로틴 바 딸기 요거트,(주)네이처인,기타가공품,2025-09-24,protein,25,"[""기타가공품"", ""효소처리스테비아"", ""히알루론산"", ""천일염"", ""향료"", ""향료"", ""대두레시틴(고시형)"", ""향료"", ""귀리식이섬유"", ""과.채가공품"", ""요거트분말"", ""치커리뿌리추출물"", ""전지분유"", ""아라비아검"", ""두류가공품"", ""농축유청"", ""해바라기유"", ""글리세린"", ""프락토올리고당"", ""난소화성말토덱스트린(고시형)"", ""두류가공품"", ""두류가공품"", ""두류가공품"", ""알룰로오스"", ""에리스리톨""]",1
2023046530914,마이프로틴 바 딸기 요거트,주식회사 네이처인,기타가공품,2025-09-23,protein,25,"[""요거트분말"", ""기타가공품"", ""효소처리스테비아"", ""히알루론산"", ""천일염"", ""향료"", ""향료"", ""대두레시틴(고시형)"", ""향료"", ""귀리식이섬유"", ""과.채가공품"", ""치커리뿌리추출물"", ""농축유청"", ""해바라기유"", ""에리스리톨"", ""글리세린"", ""프락토올리고당"", ""난소화성말토덱스트린(고시형)"", ""두류가공품"", ""두류가공품"", ""두류가공품"", ""알룰로오스"", ""전지분유"", ""아라비아검"", ""두류가공품""]",1
20110050881233,마이프로틴 바 레몬 얼그레이,(주)네이처인,기타가공품,2025-09-24,protein,25,"[""난소화성말토덱스트린(고시형)"", ""두류가공품"", ""두류가공품"", ""알룰로오스"", ""두류가공품"", ""기타가공품"", ""효소처리스테비아"", ""히알루론산"", ""향료"", ""천일염"", ""향료"", ""대두레시틴(고시형)"", ""고형차"", ""향료"", ""과.채가공품"", ""귀리식이섬유"", ""전지분유"", ""치커리뿌리추출물"", ""두류가공품"", ""아라비아검"", ""농축유청"", ""해바라기유"", ""프락토올리고당"", ""에리스리톨"", ""글리세린""]",1
2023046530913,마이프로틴 바 레몬 얼그레이,주식회사 네이처인,기타가공품,2025-09-23,protein,25,"[""글리세린"", ""난소화성말토덱스트린(고시형)"", ""두류가공품"", ""두류가공품"", ""알룰로오스"", ""두류가공품"", ""프락토올리고당"", ""에리스리톨"", ""기타가공품"", ""효소처리스테비아"", ""히알루론산"", ""향료"", ""천일염"", ""향료"", ""대두레시틴(고시형)"", ""고형차"", ""향료"", ""과.채가공품"", ""귀리식이섬유"", ""전지분유"", ""치커리뿌리추출물"", ""두류가공품"", ""아라비아검"", ""농축유청"", ""해바라기유""]",1
2023046530915,마이프로틴 바 카라멜 초코,주식회사 네이처인,기타가공품,2025-09-23,protein,23,"[""프락토올리고당"", ""난소화성말토덱스트린(고시형)"", ""두류가공품"", ""알룰로오스"", ""두류가공품"", ""두류가공품"", ""기타가공품"", ""효소처리스테비아"", ""히알루론산"", ""천일염"", ""향료"", ""대두레시틴(고시형)"", ""향료"", ""귀리식이섬유"", ""유함유가공품"", ""두류가공품"", ""치커리뿌리추출물"", ""농축유청"", ""아라비아검"", ""해바라기유"", ""코코아분말"", ""글리세린"", ""에리스리톨""]",1
20110050881231,마이프로틴 바 카라멜 초코,(주)네이처인,기타가공품,2025-09-24,protein,23,"[""아라비아검"", ""농축유청"", ""치커리뿌리추출물"", ""두류가공품"", ""유함유가공품"", ""귀리식이섬유"", ""향료"", ""대두레시틴(고시형)"", ""향료"", ""천일염"", ""히알루론산"", ""효소처리스테비아"", ""기타가공품"", ""알룰로오스"", ""두류가공품"", ""두류가공품"", ""두류가공품"", ""난소화성말토덱스트린(고시형)"", ""프락토올리고당"", ""에리스리톨"", ""글리세린"", ""코코아분말"", ""해바라기유""]",1
20240530065126,마이프로틴 쉐이크 그래놀라 옥수수,(주)스포츠바이오텍,기타가공품,2025-10-21,protein,24,"[""생선콜라겐"", ""히알루론산혼합제제"", ""수크랄로스"", ""비타민미네랄혼합분말"", ""정제소금"", ""옥수수"", ""곡류가공품"", ""유함유가공품"", ""구아검"", ""효소처리스테비아"", ""향료"", ""곡류가공품"", ""탈지분유"", ""과자"", ""복합조미식품"", ""유청단백분말"", ""분리대두단백"", ""곡류가공품"", ""식물성크림혼합분말"", ""에리스리톨"", ""콜라겐"", ""곡류가공품"", ""난소화성말토덱스트린(고시형)"", ""치커리식이섬유""]",1
20240530065124,마이프로틴 쉐이크 너티 그레인,(주)스포츠바이오텍,기타가공품,2025-10-21,protein,24,"[""생선콜라겐"", ""히알루론산혼합제제"", ""수크랄로스"", ""비타민미네랄혼합분말"", ""정제소금"", ""효소처리스테비아"", ""구아검"", ""향료"", ""콜라겐"", ""곡류가공품"", ""아몬드분태"", ""유함유가공품"", ""곡류가공품"", ""두류가공품"", ""땅콩분말"", ""곡류가공품"", ""곡류가공품"", ""분리대두단백"", ""유청단백분말"", ""곡류가공품"", ""난소화성말토덱스트린(고시형)"", ""치커리식이섬유"", ""식물성크림혼합분말"", ""에리스리톨""]",1
