product_id,brand,clean_name,flavor,volume,pack_count,price,dup_count,product_line,full_name,maker,mall,category,naver_link,ingredients_json,nutrition_json,source,mfds_matched_name,mfds_report_no,match_score
54793763271,오리온,서울에프엔비 오리온 프로 단백질 드링크,초코,40g,20,47900,1,서울에프엔비오리온프로단백질드링크,"서울에프엔비 오리온 프로 단백질 드링크 40g 초코, 350ml, 20개",서울에프엔비,네이버,단백질보충제 > 단백질음료,https://search.shopping.naver.com/catalog/54793763271,,,naver_shop,,,0.267
90597002313,매일,셀렉스 프로핏 Sports WPI 드링크,초콜릿,330ml,12,27800,1,셀렉스프로핏sportswpi드링크,"[마선호 단백질] 셀렉스 프로핏 Sports WPI 드링크 초콜릿, 330ml, 12개",매일유업,셀렉스 직영스토어,단백질보충제 > 단백질음료,https://smartstore.naver.com/main/products/13052491220,,,naver_shop,,,0.414
88436559252,뉴케어,뉴케어 올프로틴,고소한,25g,24,43890,4,뉴케어올프로틴,"[단백질 25g] 뉴케어 올프로틴 고소한맛 단백질음료 245ml, 24개",대상,대상웰라이프 본사쇼핑몰,단백질보충제 > 단백질음료,https://smartstore.naver.com/main/products/10892053234,"[""혼합제제"", ""아세설팜칼륨"", ""수크랄로스"", ""염화마그네슘"", ""탄산칼슘"", ""정제소금"", ""탄산수소나트륨"", ""향료"", ""향료"", ""향료"", ""레몬농축액"", ""구연산칼륨"", ""구연산"", ""생선콜라겐"", ""정제수"", ""염화칼륨""]",,naver_shop,뉴케어 올프로틴 20g 레몬맛,2021045702861,0.62
53509499617,뉴케어,대상 뉴케어 올프로틴,초코,245ml,24,41320,1,대상뉴케어올프로틴,"대상 뉴케어 올프로틴 초코맛, 245ml, 24개",대상,네이버,단백질보충제 > 단백질음료,https://search.shopping.naver.com/catalog/53509499617,,,naver_shop,,,0.3
88373750850,연세우유,연세유업 세브란스 A2프로틴,오리지널,190ml,16,15400,1,연세유업세브란스a2프로틴,"연세유업 세브란스 A2프로틴 음료 오리지널, 190ml, 16개",연세우유,연세유업 직영스토어,단백질보충제 > 단백질음료,https://smartstore.naver.com/main/products/10829244837,,,naver_shop,,,0.25
54210230880,그린비아,정식품 그린비아 프로틴밀 액티브 아몬드와 호두,,250ml,18,19260,1,정식품그린비아프로틴밀액티브아몬드와호두,"정식품 그린비아 프로틴밀 액티브 아몬드와 호두, 250ml, 18개",정식품,네이버,단백질보충제 > 단백질음료,https://search.shopping.naver.com/catalog/54210230880,,,naver_shop,,,0.235
53510799224,매일,매일유업 셀렉스 코어 프로틴,오리지널,125ml,24,23810,1,매일유업셀렉스코어프로틴,"매일유업 셀렉스 코어 프로틴 오리지널 , 125ml, 24개",매일유업,네이버,단백질보충제 > 단백질음료,https://search.shopping.naver.com/catalog/53510799224,,,naver_shop,,,0.18
60187448220,뉴케어,뉴케어 올프로틴,,41g,18,55710,2,뉴케어올프로틴,"뉴케어 올프로틴 41g 커피우유맛, 350ml, 18개",,네이버,단백질보충제 > 단백질음료,https://search.shopping.naver.com/catalog/60187448220,"[""혼합제제"", ""아세설팜칼륨"", ""수크랄로스"", ""염화마그네슘"", ""탄산칼슘"", ""정제소금"", ""탄산수소나트륨"", ""향료"", ""향료"", ""향료"", ""레몬농축액"", ""구연산칼륨"", ""구연산"", ""생선콜라겐"", ""정제수"", ""염화칼륨""]",,naver_shop,뉴케어 올프로틴 20g 레몬맛,2021045702861,0.62
53507440513,일동후디스,일동후디스 하이뮨 프로틴 밸런스 액티브,오리지널,250ml,18,27600,1,일동후디스하이뮨프로틴밸런스액티브,"일동후디스 하이뮨 프로틴 밸런스 액티브 오리지널, 250ml, 18개",일동후디스,네이버,단백질보충제 > 단백질음료,https://search.shopping.naver.com/catalog/53507440513,,,naver_shop,,,0.264
90614490424,뉴케어,뉴케어 올프로틴 식물성단백질,고소한,20g,24,44900,1,뉴케어올프로틴식물성단백질,"뉴케어 올프로틴 식물성단백질20g 고소한맛 단백질음료 250ml, 24개",대상,대상웰라이프 본사쇼핑몰,단백질보충제 > 단백질음료,https://smartstore.naver.com/main/products/13069979331,"[""염화칼륨"", ""수크랄로스"", ""향료"", ""향료"", ""비타민혼합제제"", ""탄산칼슘"", ""구연산칼륨"", ""덱스트린"", ""알룰로오스"", ""코코아분말"", ""옥수수기름(옥배유)"", ""분리완두단백"", ""분리대두단백"", ""정제수"", ""스테비아추출물"", ""탄산수소나트륨"", ""향료"", ""L-카르니틴"", ""카라기난혼합제제"", ""카라기난"", ""혼합제제"", ""결정셀룰로스"", ""비타민D3혼합제제"", ""산화아연"", ""dl-α-토코페릴아세테이트"", ""혼합제제"", ""귀리단백""]",,naver_shop,뉴케어 올프로틴 식물성단백질 초코맛,2021045702821,0.838
