report_no,name,maker,prdlst_type,report_date,chng_dt,category,ingredient_count,ingredients_json
20230268165100,제로콘누들 마라스프,그린스퀘어(주),소스,2024-09-30,2025-12-12,zero,25,"[""고춧가루"", ""마늘"", ""복합조미식품"", ""L-글루탐산나트륨"", ""향미유"", ""변성전분"", ""효소처리스테비아"", ""호박산이나트륨"", ""5-리보뉴클레오티드이나트륨"", ""구연산"", ""천연향신료"", ""천연향신료"", ""천연향신료"", ""향미유"", ""과.채가공품"", ""식품첨가물혼합제제"", ""파프리카추출색소"", ""주정"", ""파라옥시안식향산에틸"", ""에리스리톨"", ""양조간장"", ""알룰로오스"", ""정제수"", ""식육추출가공품"", ""정제소금""]"
20230268165113,제로콘누들 비빔스프,그린스퀘어(주),소스,2025-05-07,2025-05-10,zero,28,"[""고춧가루"", ""볶은참깨"", ""복합조미식품"", ""조미김"", ""향료"", ""향료"", ""파프리카추출색소"", ""주정"", ""파라옥시안식향산에틸"", ""5-리보뉴클레오티드이나트륨"", ""L-글루탐산나트륨"", ""호박산이나트륨"", ""정제수"", ""당류가공품"", ""에리스리톨"", ""발효식초"", ""발효식초"", ""양파"", ""정제소금"", ""고춧가루"", ""마늘"", ""양조간장"", ""참기름"", ""변성전분"", ""효소처리스테비아"", ""글리신"", ""DL-사과산"", ""구연산""]"
2023026816599,제로콘누들 사천짜장스프,그린스퀘어(주),소스,2024-09-30,2025-12-12,zero,23,"[""양조간장"", ""정제수"", ""정제소금"", ""복합조미식품"", ""에리스리톨"", ""알룰로오스"", ""춘장"", ""식육추출가공품"", ""주정"", ""파라옥시안식향산에틸"", ""올레오레진캡시컴"", ""파프리카추출색소"", ""탄산칼륨(무수)"", ""호박산이나트륨"", ""5-리보뉴클레오티드이나트륨"", ""고춧가루"", ""향미유"", ""콩기름(대두유)"", ""과.채가공품"", ""효소처리스테비아"", ""복합조미식품"", ""변성전분"", ""L-글루탐산나트륨""]"
20230517206171,제로콘누들 소면,(주)라라에프엔비,건면,2025-05-12,2026-02-01,zero,7,"[""복합조미식품"", ""정제소금"", ""혼합제제"", ""밀가루"", ""옥수수전분"", ""분리대두단백"", ""식품첨가물""]"
2023026816598,제로콘누들 짜장스프,그린스퀘어(주),소스,2024-09-30,2025-12-12,zero,20,"[""파라옥시안식향산에틸"", ""주정"", ""탄산칼륨(무수)"", ""카라멜색소 Ⅲ"", ""호박산이나트륨"", ""5-리보뉴클레오티드이나트륨"", ""과.채가공품"", ""효소처리스테비아"", ""복합조미식품"", ""변성전분"", ""L-글루탐산나트륨"", ""정제소금"", ""콩기름(대두유)"", ""복합조미식품"", ""에리스리톨"", ""식육추출가공품"", ""춘장"", ""알룰로오스"", ""양조간장"", ""정제수""]"
197304430031690,제로콘스프레이초코,(주)삼광식품,준초콜릿,2025-01-22,2025-01-23,zero,10,"[""야자유"", ""D-말티톨"", ""콩기름(대두유)"", ""식물성크림"", ""코코아분말"", ""레시틴"", ""향료"", ""혼합제제"", ""수크랄로스"", ""아몬드분말""]"
2020037231015,제로콜,수현엔비케어,혼합제제와기구등의살균소독제,2022-04-19,2023-07-13,zero,5,"[""젖산나트륨"", ""구연산삼나트륨"", ""프로필렌글리콜"", ""에탄올"", ""정제수""]"
2018045233325,제로콜,성운디엘에스,혼합제제,2019-12-13,2019-12-24,zero,5,"[""DL-사과산"", ""정제수"", ""글리세린"", ""젖산(살균소독제)"", ""에탄올""]"
19920624042949,제로콜라 라임향,(주)상일,탄산음료,2025-04-10,2025-10-17,zero,10,"[""정제수"", ""이산화탄소"", ""혼합제제"", ""혼합제제"", ""향료"", ""구연산칼륨"", ""수크랄로스"", ""아세설팜칼륨"", ""안식향산나트륨"", ""구연산""]"
19920624042974,제로콜라 카페인프리,(주)상일,탄산음료,2026-04-30,2026-06-11,zero,10,"[""구연산칼륨"", ""구연산"", ""수크랄로스"", ""아세설팜칼륨"", ""안식향산나트륨"", ""카라멜색소비에이"", ""인산"", ""혼합제제"", ""이산화탄소"", ""정제수""]"
19960242067427,제로쿠키분태(빙과용),롯데웰푸드(주),과자,2024-01-25,2024-02-06,zero,17,"[""밀가루"", ""D-말티톨"", ""식물성유지"", ""쇼트닝"", ""코코아분말"", ""식물성크림"", ""전분가공품"", ""산도조절제"", ""정제소금"", ""산도조절제"", ""산도조절제"", ""유화제"", ""바닐린"", ""향료"", ""향료"", ""수크랄로스"", ""정제수""]"
19960242067430,제로쿠키분태(제로아이스용),롯데웰푸드(주),과자,2024-03-08,2026-07-02,zero,18,"[""정제수"", ""수크랄로스"", ""향료"", ""향료"", ""향료"", ""바닐린"", ""유화제"", ""유청단백분말"", ""산도조절제"", ""산도조절제"", ""팜유"", ""D-말티톨"", ""밀가루"", ""정제소금"", ""산도조절제"", ""전분가공품"", ""폴리글리시톨시럽"", ""코코아분말""]"
